tweet_text,Username
@OzzyOsbourne @JackOsbourne @MrsSOsbourne @KellyOsbourne I wish OZZY could come to Louisville KY for the Louder than Life or Bourbon &amp; Beyond music festival for 2 weeks of nothing but the best music. Louisville is only missing one person and that is OZZY🎶💋🎶💋,AlveyHardin
"drink a bourbon. Then I left your ass at the BOURBON and Beyond festival also on my best friend bday from middle school, 9/17

Anne of Austria became queen regent on 5/14/1643 and Louis XIV her son rule began on that day while the rule of Louis Xlll, his father, ended.

Which is",EmpressJaMeya
"@joncoopertweets I was seriously thinking of going to Bourbon and Beyond Festival this September in Louisville, scratched off the list!",Jkats530
"Bourbon and Beyond, Beyoncé upcoming show there, the BB being present in Bill Benz

The gridpoint can’t be reversed to before I knew all my assailants and called them out. It must proceed and catch up to reality.",EmpressJaMeya
"@truenorth12mike @DeaMille17 @TWilsonOttawa This goes far beyond ""certain circumstances"" - I'm VERY aware of the shortfalls in justice and correctional systems.  Criminals have no fear of police, the courts or incarceration (if that even happens), for them it's simply part of the lifestyle and a cost of doing business...",blake_golder
"@TUUFFRR sometimes i want a beyond meat, sometimes I want a teen. Just like sometimes I want bourbon and sometimes I want gin",DrunkDividends
"The last and final event I have and will ever see this person at was the Bourbon and Beyond festival In Louisville on 9/17/22.

And the first show was in Cincinnati on 1/11/18.

I deleted my content, not wanting the person who abused me for years on my phone. But this account",EmpressJaMeya
@Jon__Reed camping at louder than life and Bourbon and Beyond,bigdaddyvols
"#UnusualDeaths 
In 1974, health food addict Basil Brown died after consuming ten gallons of carrot juice over the course of ten days, turning his skin bright yellow and damaging his liver beyond repair.
Stick to bourbon! https://t.co/x6eKRayZrH",BaronDestructo
"Musk is a person with a mission and is consistent. Musk has a strong sense of mission, which is far beyond what most of us can afford. Musk is a compassionate and righteous person. What he feels most deeply is that he has to shoulder the mission of changing the fate of mankind. https://t.co/w9OGY6AR4R",Bourbon39651661
"@CCVagina here in Louisville we're going to have two 4 day festivals taking place on back to back weekends, Bourbon and Beyond and Louder than Life. you can an Exacta Pass and go to both at a reduced price. The Exacta Pass costs a little more than half of what Madonna wants for one show. https://t.co/7J8JifNYBH",maxcoatesbfa
"Episode 179 of the @BeyondBourbonSt podcast is now available! Join host @MarkBologna as he compares French Quarter Fest and Jazz Fest. Which festival comes out on top? Listen here: 

https://t.co/U7MLhH5Q4i",BeyondBourbonSt
"@JasonIsbell Watching you and @amandashires tug at my heart in your documentary “Running with our eyes closed” &amp; you make music for dancing… belated first dances at weddings at Bourbon &amp; Beyond amongst 75,000 people. For 4 minutes, it was just you singing to my husband &amp; I ♥️",RoyalBA0805
@broken_belles no bc him making eye contact with me a few times and pointing at me at bourbon &amp; beyond had me shitting my pants,veebaweeba
@ih8it4u @KathleenDePlume Ugh people need to get with the times. Like hospital staff goes above and beyond let them rest,bourbonandsass2
"@JasonIsbell Currently watching. 
I've lost count of the times I say, ""Alexa play Jason Isbell"". Got to see you at Bourbon and Beyond. Thank you for the music &amp; thank you for speaking up for people. 
💙🙌 https://t.co/D148k1lJGf",sherylkpage
"New era, first intro &lt;3

⋆⁺₊⋆Mylo
⋆⁺₊⋆New acc, not new to gvftwt :)
⋆⁺₊⋆15😕 Capricorn
⋆⁺₊⋆Ky
⋆⁺₊⋆Jake Lane &lt;3
⋆⁺₊⋆TWOD, lml, stardust chords stan
⋆⁺₊⋆Talk on the street enthusiast 
⋆⁺₊⋆Saw them at bourbon and beyond &lt;3

Safe space for all &lt;3 https://t.co/3KuXargDDW",zxronyx
"Last year's Bourbon and Beyond festival had a great lineup. This one is similarly stellar. I don't know who they've got booking this in Louisville, but kudos. https://t.co/kVe9m4Ag4E",ChrisCinciBiz
